id,generation,name,description,type1,type2,abilities,weight_kg,height_m,capture_rate,is_legendary,capture_date
1,1,Bulbasaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",6.9,0.7,45,0,05/01/1996
2,1,Ivysaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",13.0,1.0,45,0,08/10/1996
3,1,Venusaur,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",100.0,2.0,45,0,12/01/1996
4,1,Charmander,Lizard Pokémon,fire,,"['Blaze', 'Solar Power']",8.5,0.6,45,0,04/12/1996
5,1,Charmeleon,Flame Pokémon,fire,,"['Blaze', 'Solar Power']",19.0,1.1,45,0,06/03/1996
6,1,Charizard,Flame Pokémon,fire,flying,"['Blaze', 'Solar Power']",90.5,1.7,45,0,20/12/1996
7,1,Squirtle,Tiny Turtle Pokémon,water,,"['Torrent', 'Rain Dish']",9.0,0.5,45,0,25/01/1996
8,1,Wartortle,Turtle Pokémon,water,,"['Torrent', 'Rain Dish']",22.5,1.0,45,0,20/12/1996
9,1,Blastoise,Shellfish Pokémon,water,,"['Torrent', 'Rain Dish']",85.5,1.6,45,0,08/09/1996
10,1,Caterpie,Worm Pokémon,bug,,"['Shield Dust', 'Run Away']",2.9,0.3,255,0,24/08/1996
